,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name
683830,25917,psi4,2023-02-28 16:46:00,commit,2022-09-13 14:02:02-05:00,loriab
692541,25941,rmgdft,2023-02-28 16:46:00,commit,2019-04-26 06:16:02-05:00,elbriggs
706151,25941,rmgdft,2023-02-28 16:46:00,commit,2012-05-09 19:02:05-05:00,elbriggs
715908,25859,llvm-project,2023-02-28 16:46:00,commit,2016-02-22 07:09:36-06:00,AaronBallman
716790,25859,llvm-project,2023-02-28 16:46:00,commit,2018-04-12 12:53:21-05:00,AaronBallman
733641,25859,llvm-project,2023-02-28 16:46:00,commit,2005-04-21 15:48:15-05:00,mbrukman
742792,25917,psi4,2023-02-28 16:46:00,commit,2018-06-17 13:33:57-05:00,loriab
748106,25859,llvm-project,2023-02-28 16:46:00,commit,2013-02-28 03:39:12-06:00,djasper
748849,25859,llvm-project,2023-02-28 16:46:00,commit,2017-02-15 03:56:08-06:00,djasper
750502,25859,llvm-project,2023-02-28 16:46:00,commit,2013-02-04 02:34:57-06:00,djasper
766948,25918,sage,2023-02-28 16:46:00,commit,2019-06-07 08:35:48-05:00,kliem
768271,25917,psi4,2023-02-28 16:46:00,commit,2013-07-10 09:50:43-05:00,dhollman
769350,25917,psi4,2023-02-28 16:46:00,commit,2017-05-30 13:36:14-05:00,fevangelista
775839,25918,sage,2023-02-28 16:46:00,commit,2015-11-09 17:56:21-06:00,nbruin
793878,25917,psi4,2023-02-28 16:46:00,commit,2012-04-02 12:44:00-05:00,psi-rking
797253,25859,llvm-project,2023-02-28 16:46:00,commit,2005-02-01 14:38:53-06:00,darthscsi
805998,26006,fastr,2023-02-28 16:46:00,commit,2018-12-20 08:55:50-06:00,steve-s
808836,25952,yt,2023-02-28 16:46:00,commit,2022-01-20 09:41:25-06:00,zingale
811163,26006,fastr,2023-02-28 16:46:00,commit,2021-12-21 06:18:00-06:00,steve-s
834003,25859,llvm-project,2023-02-28 16:46:00,commit,2010-08-04 17:39:39-05:00,pateldevang
842954,25917,psi4,2023-02-28 16:46:00,commit,2014-05-14 18:56:25-05:00,psi-rking
849693,26006,fastr,2023-02-28 16:46:00,commit,2017-09-25 04:03:24-05:00,fangerer
851935,25859,llvm-project,2023-02-28 16:46:00,commit,2011-06-21 18:02:36-05:00,pateldevang
858717,25917,psi4,2023-02-28 16:46:00,commit,2011-12-06 04:44:20-06:00,jturney
864987,25892,boinc,2023-02-28 16:46:00,commit,2018-11-06 08:32:52-06:00,lfield
